Model,Run,Accuracy,Precision,Recall,F1-Score,AUC-ROC,MCC,Specificity,AUPRC,TN,FP,FN,TP
RandomForest,33,0.8317901234567902,0.8302752293577982,0.9118387909319899,0.8691476590636255,0.9068612201069777,0.6406470411336492,0.7051792828685259,0.9358550733929749,177,74,35,362
RandomForest,34,0.8348765432098766,0.8372093023255814,0.906801007556675,0.8706166868198307,0.9046634620209338,0.6473983173024851,0.7211155378486056,0.9360322346010548,181,70,37,360
RandomForest,35,0.8302469135802469,0.8376470588235294,0.8967254408060453,0.8661800486618005,0.9056569691009262,0.6376075129472041,0.7250996015936255,0.9373370310186719,182,69,41,356
RandomForest,36,0.8256172839506173,0.8317757009345794,0.8967254408060453,0.863030303030303,0.9055666502754725,0.6273908638129178,0.7131474103585658,0.9368484084847782,179,72,41,356
RandomForest,37,0.8395061728395061,0.8463356973995272,0.9017632241813602,0.8731707317073171,0.9037803446164961,0.6577273758691631,0.7410358565737052,0.9349168608241781,186,65,39,358
RandomForest,38,0.8287037037037037,0.8294930875576036,0.906801007556675,0.8664259927797834,0.9047738516964886,0.633895688774795,0.7051792828685259,0.9365848132760961,177,74,37,360
RandomForest,39,0.8302469135802469,0.8424821002386634,0.889168765743073,0.8651960784313726,0.9002880166989472,0.6381674994462205,0.7370517928286853,0.9337599146913391,185,66,44,353
RandomForest,40,0.8271604938271605,0.8337236533957846,0.8967254408060453,0.8640776699029126,0.9044928597950765,0.6307963797423382,0.7171314741035857,0.9361174727298193,180,71,41,356
RandomForest,41,0.8364197530864198,0.8407494145199064,0.9042821158690176,0.8713592233009708,0.905135126998304,0.6508435958521177,0.7290836653386454,0.9368277268356225,183,68,38,359
RandomForest,42,0.8317901234567902,0.8412322274881516,0.8942065491183879,0.8669108669108669,0.9037000612160928,0.6411787912500551,0.7330677290836654,0.9359706936536776,184,67,42,355
RandomForest,43,0.8225308641975309,0.8248847926267281,0.9017632241813602,0.8616125150421179,0.901783295031461,0.620424028077341,0.6972111553784861,0.9336537207450659,175,76,39,358
RandomForest,44,0.8287037037037037,0.8341121495327103,0.8992443324937027,0.8654545454545455,0.900890142201973,0.6340806104026429,0.7171314741035857,0.9336512841333509,180,71,40,357
RandomForest,45,0.8348765432098766,0.8372093023255814,0.906801007556675,0.8706166868198307,0.9073730267845495,0.6473983173024851,0.7211155378486056,0.9384816421464272,181,70,37,360
