Model,Run,Accuracy,Precision,Recall,F1-Score,AUC-ROC,MCC,Specificity,AUPRC,TN,FP,FN,TP
RandomForest,48,0.8497652582159625,0.8846153846153846,0.8712121212121212,0.8778625954198473,0.9276561915450805,0.6829044155341443,0.8148148148148148,0.9473507296536499,66,15,17,115
RandomForest,49,0.8497652582159625,0.8846153846153846,0.8712121212121212,0.8778625954198473,0.9329872802095025,0.6829044155341443,0.8148148148148148,0.9481631014609597,66,15,17,115
RandomForest,50,0.8591549295774648,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.9354190048634493,0.7011784511784511,0.8148148148148148,0.9530686373194887,66,15,15,117
SVM,1,0.8685446009389671,0.8823529411764706,0.9090909090909091,0.8955223880597015,0.9155910961466517,0.7189955659852817,0.8024691358024691,0.9448140932389467,65,16,12,120
SVM,2,0.863849765258216,0.8814814814814815,0.9015151515151515,0.8913857677902621,0.9155910961466517,0.7093788818195002,0.8024691358024691,0.9448140932389467,65,16,13,119
SVM,3,0.863849765258216,0.8814814814814815,0.9015151515151515,0.8913857677902621,0.9155910961466517,0.7093788818195002,0.8024691358024691,0.9448140932389467,65,16,13,119
SVM,4,0.863849765258216,0.8814814814814815,0.9015151515151515,0.8913857677902621,0.915497568275346,0.7093788818195002,0.8024691358024691,0.9447599314485644,65,16,13,119
SVM,5,0.863849765258216,0.8814814814814815,0.9015151515151515,0.8913857677902621,0.9155910961466517,0.7093788818195002,0.8024691358024691,0.9448140932389467,65,16,13,119
SVM,6,0.863849765258216,0.8814814814814815,0.9015151515151515,0.8913857677902621,0.9155910961466517,0.7093788818195002,0.8024691358024691,0.9448140932389467,65,16,13,119
SVM,7,0.863849765258216,0.8814814814814815,0.9015151515151515,0.8913857677902621,0.9155910961466517,0.7093788818195002,0.8024691358024691,0.9448140932389467,65,16,13,119
SVM,8,0.863849765258216,0.8814814814814815,0.9015151515151515,0.8913857677902621,0.9155910961466517,0.7093788818195002,0.8024691358024691,0.9448140932389467,65,16,13,119
SVM,9,0.8685446009389671,0.8823529411764706,0.9090909090909091,0.8955223880597015,0.9155910961466517,0.7189955659852817,0.8024691358024691,0.9448140932389467,65,16,12,120
SVM,10,0.8685446009389671,0.8823529411764706,0.9090909090909091,0.8955223880597015,0.915497568275346,0.7189955659852817,0.8024691358024691,0.9447599314485644,65,16,12,120
SVM,11,0.8685446009389671,0.8823529411764706,0.9090909090909091,0.8955223880597015,0.9155910961466517,0.7189955659852817,0.8024691358024691,0.9448140932389467,65,16,12,120
SVM,12,0.863849765258216,0.8814814814814815,0.9015151515151515,0.8913857677902621,0.9155910961466517,0.7093788818195002,0.8024691358024691,0.9448140932389467,65,16,13,119
SVM,13,0.863849765258216,0.8814814814814815,0.9015151515151515,0.8913857677902621,0.9155910961466517,0.7093788818195002,0.8024691358024691,0.9448140932389467,65,16,13,119
SVM,14,0.863849765258216,0.8814814814814815,0.9015151515151515,0.8913857677902621,0.915497568275346,0.7093788818195002,0.8024691358024691,0.9447599314485644,65,16,13,119
SVM,15,0.863849765258216,0.8814814814814815,0.9015151515151515,0.8913857677902621,0.9155910961466517,0.7093788818195002,0.8024691358024691,0.9448140932389467,65,16,13,119
SVM,16,0.863849765258216,0.8814814814814815,0.9015151515151515,0.8913857677902621,0.9155910961466517,0.7093788818195002,0.8024691358024691,0.9448140932389467,65,16,13,119
SVM,17,0.8685446009389671,0.8823529411764706,0.9090909090909091,0.8955223880597015,0.9155910961466517,0.7189955659852817,0.8024691358024691,0.9448140932389467,65,16,12,120
SVM,18,0.863849765258216,0.8814814814814815,0.9015151515151515,0.8913857677902621,0.915497568275346,0.7093788818195002,0.8024691358024691,0.9447599314485644,65,16,13,119
SVM,19,0.863849765258216,0.8814814814814815,0.9015151515151515,0.8913857677902621,0.9155910961466517,0.7093788818195002,0.8024691358024691,0.9448140932389467,65,16,13,119
SVM,20,0.8685446009389671,0.8823529411764706,0.9090909090909091,0.8955223880597015,0.9155910961466517,0.7189955659852817,0.8024691358024691,0.9448140932389467,65,16,12,120
SVM,21,0.863849765258216,0.8814814814814815,0.9015151515151515,0.8913857677902621,0.9155910961466517,0.7093788818195002,0.8024691358024691,0.9448140932389467,65,16,13,119
